rank,site_a,row_a,col_a,label_a,site_b,row_b,col_b,label_b,rgb_mean_l2,rgb_std_l2,swir_angle_deg
1,bingham,13,23,jarosite,goldfield,71,73,hematite,11.397,2.952,8.168
2,goldfield,7,19,hematite,goldfield,57,20,jarosite,22.672,1.222,7.113
3,goldfield,10,24,hematite,goldfield,52,24,goethite,17.263,1.513,6.460
4,goldfield,7,19,hematite,goldfield,56,21,jarosite,13.613,0.707,6.450
5,goldfield,13,17,hematite,goldfield,29,19,goethite,14.007,2.970,6.431
6,goldfield,2,16,hematite,goldfield,54,20,muscovite,22.349,1.487,6.207
7,goldfield,6,18,hematite,goldfield,53,21,muscovite,26.529,2.376,6.200
8,goldfield,44,8,jarosite,goldfield,60,29,muscovite,17.921,2.918,6.071
9,goldfield,44,8,jarosite,goldfield,59,28,muscovite,25.429,0.662,5.999
10,goldfield,2,16,hematite,goldfield,51,21,muscovite,25.734,0.323,5.963
11,goldfield,13,38,hematite,goldfield,59,54,jarosite,11.394,2.699,5.912
12,goldfield,2,16,hematite,goldfield,52,20,muscovite,24.130,2.131,5.865
13,goldfield,2,16,hematite,goldfield,53,20,muscovite,23.948,2.746,5.835
14,goldfield,44,8,jarosite,goldfield,59,29,dickite,21.889,1.787,5.814
15,goldfield,14,17,hematite,goldfield,53,18,muscovite,19.813,2.805,5.700
16,goldfield,2,16,hematite,goldfield,53,19,muscovite,20.736,1.667,5.678
17,goldfield,12,38,hematite,goldfield,59,54,jarosite,15.155,1.517,5.664
18,goldfield,10,24,hematite,goldfield,33,19,goethite,16.826,2.055,5.621
