site_id,scene_id,row,col,y0,x0,label,purity,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b
bingham,20250911_191523_58_4001,13,23,143,253,jarosite,0.7769,62.438017,48.983471,44.504132,15.546195,12.183164,11.147489
bingham,20250911_191523_58_4001,28,66,308,726,goethite,0.7107,211.165289,199.553719,183.975207,42.200103,47.277963,44.944127
bingham,20250911_191523_58_4001,29,66,319,726,goethite,0.8347,241.016529,224.438017,202.991736,27.126268,34.165831,32.568680
bingham,20250911_191523_58_4001,33,66,363,726,goethite,0.7273,221.628099,173.049587,160.553719,21.658939,32.566487,36.327243
bingham,20250911_191523_58_4001,49,7,539,77,hematite,0.9339,93.636364,121.669421,113.429752,19.166517,26.907060,32.819271
bingham,20250911_191523_58_4001,50,8,550,88,hematite,0.7934,107.008264,138.776860,140.487603,12.003784,20.269868,26.331678
bingham,20250911_191523_58_4001,52,17,572,187,gypsum,1.0000,135.702479,164.851240,184.760331,14.921084,17.011742,16.607787
bingham,20250911_191523_58_4001,52,18,572,198,gypsum,0.9835,160.404959,195.710744,216.495868,14.226374,16.712661,17.027020
bingham,20250911_191523_58_4001,52,19,572,209,gypsum,0.8926,160.677686,192.570248,204.991736,25.632242,30.370937,32.748351
bingham,20250911_191523_58_4001,53,17,583,187,gypsum,0.9504,139.520661,167.115702,186.702479,16.397490,17.946288,16.097145
bingham,20250911_191523_58_4001,64,7,704,77,hematite,0.7355,32.743802,34.338843,43.702479,28.669542,29.157468,26.024986
bingham,20250911_191523_58_4001,71,3,781,33,jarosite,0.7934,153.710744,131.619835,102.809917,14.869925,11.904063,10.216915
bingham,20250911_191523_58_4001,72,1,792,11,kaolinite,0.7025,164.148760,139.892562,119.851240,52.023622,44.432473,37.114890
goldfield,20240925_185504_87_4001,1,16,11,176,hematite,0.9339,99.057851,73.809917,54.628099,8.727554,8.370861,7.404636
goldfield,20240925_185504_87_4001,1,17,11,187,hematite,0.9587,107.438017,80.851240,54.851240,10.003216,7.753070,5.006873
goldfield,20240925_185504_87_4001,1,18,11,198,hematite,0.7190,80.793388,54.528926,35.289256,19.953631,19.005904,16.374460
goldfield,20240925_185504_87_4001,2,16,22,176,hematite,0.9752,100.454545,76.925620,57.619835,4.016495,3.967149,4.843426
goldfield,20240925_185504_87_4001,2,18,22,198,hematite,0.7686,86.231405,56.909091,33.661157,9.399983,8.948891,8.437964
goldfield,20240925_185504_87_4001,2,20,22,220,dickite,0.7025,105.528926,77.016529,46.132231,11.639967,10.899984,8.245151
goldfield,20240925_185504_87_4001,4,18,44,198,hematite,0.7686,94.380165,65.528926,41.239669,9.778756,9.200318,8.285230
goldfield,20240925_185504_87_4001,4,26,44,286,dickite,0.7355,115.570248,70.743802,32.057851,26.722271,23.775996,15.507022
goldfield,20240925_185504_87_4001,4,28,44,308,goethite,0.8099,163.809917,122.454545,71.677686,20.910401,18.063250,14.575659
