cluster_id,patch_id,label,cluster_size,n_labels_in_cluster
0,bingham_r13_c23,jarosite,2,2
0,goldfield_r71_c73,hematite,2,2
1,bingham_r71_c3,jarosite,138,8
1,goldfield_r2_c16,hematite,138,8
1,goldfield_r6_c18,hematite,138,8
1,goldfield_r10_c22,hematite,138,8
1,goldfield_r12_c37,hematite,138,8
1,goldfield_r12_c38,hematite,138,8
1,goldfield_r13_c38,hematite,138,8
1,goldfield_r14_c17,hematite,138,8
1,goldfield_r18_c57,alunite,138,8
1,goldfield_r19_c56,alunite,138,8
1,goldfield_r19_c57,alunite,138,8
1,goldfield_r19_c58,alunite,138,8
1,goldfield_r20_c58,alunite,138,8
1,goldfield_r20_c59,alunite,138,8
1,goldfield_r21_c18,jarosite,138,8
1,goldfield_r21_c57,alunite,138,8
1,goldfield_r21_c58,alunite,138,8
1,goldfield_r21_c59,alunite,138,8
1,goldfield_r21_c60,alunite,138,8
1,goldfield_r22_c56,alunite,138,8
1,goldfield_r22_c58,alunite,138,8
1,goldfield_r22_c60,alunite,138,8
1,goldfield_r22_c61,alunite,138,8
1,goldfield_r23_c56,alunite,138,8
1,goldfield_r23_c57,alunite,138,8
1,goldfield_r23_c59,alunite,138,8
1,goldfield_r23_c60,alunite,138,8
1,goldfield_r23_c61,alunite,138,8
1,goldfield_r24_c57,alunite,138,8
1,goldfield_r24_c58,alunite,138,8
1,goldfield_r24_c61,alunite,138,8
1,goldfield_r24_c62,alunite,138,8
1,goldfield_r25_c58,alunite,138,8
1,goldfield_r25_c62,alunite,138,8
1,goldfield_r25_c64,alunite,138,8
1,goldfield_r26_c28,hematite,138,8
1,goldfield_r26_c63,alunite,138,8
1,goldfield_r27_c64,alunite,138,8
1,goldfield_r29_c54,alunite,138,8
1,goldfield_r30_c54,alunite,138,8
1,goldfield_r31_c54,alunite,138,8
1,goldfield_r37_c31,gypsum,138,8
1,goldfield_r37_c32,gypsum,138,8
1,goldfield_r38_c30,gypsum,138,8
1,goldfield_r38_c31,gypsum,138,8
1,goldfield_r38_c32,gypsum,138,8
1,goldfield_r39_c30,gypsum,138,8
1,goldfield_r39_c31,gypsum,138,8
1,goldfield_r39_c32,gypsum,138,8
1,goldfield_r40_c28,gypsum,138,8
1,goldfield_r40_c29,gypsum,138,8
1,goldfield_r40_c32,gypsum,138,8
1,goldfield_r41_c29,gypsum,138,8
1,goldfield_r41_c31,gypsum,138,8
1,goldfield_r42_c31,gypsum,138,8
1,goldfield_r42_c57,jarosite,138,8
1,goldfield_r44_c8,jarosite,138,8
1,goldfield_r45_c7,hematite,138,8
1,goldfield_r45_c8,hematite,138,8
1,goldfield_r45_c12,dickite,138,8
1,goldfield_r46_c7,gypsum,138,8
1,goldfield_r46_c18,muscovite,138,8
1,goldfield_r47_c6,gypsum,138,8
1,goldfield_r47_c7,gypsum,138,8
1,goldfield_r47_c18,muscovite,138,8
1,goldfield_r47_c80,jarosite,138,8
1,goldfield_r48_c6,gypsum,138,8
1,goldfield_r48_c7,gypsum,138,8
1,goldfield_r48_c43,dickite,138,8
1,goldfield_r51_c10,muscovite,138,8
1,goldfield_r51_c20,muscovite,138,8
1,goldfield_r51_c21,muscovite,138,8
1,goldfield_r51_c30,goethite,138,8
1,goldfield_r52_c18,muscovite,138,8
1,goldfield_r52_c19,muscovite,138,8
1,goldfield_r52_c20,muscovite,138,8
1,goldfield_r52_c21,muscovite,138,8
1,goldfield_r53_c18,muscovite,138,8
1,goldfield_r53_c19,muscovite,138,8
1,goldfield_r53_c20,muscovite,138,8
1,goldfield_r53_c21,muscovite,138,8
1,goldfield_r54_c5,gypsum,138,8
1,goldfield_r54_c18,muscovite,138,8
1,goldfield_r54_c20,muscovite,138,8
1,goldfield_r55_c5,gypsum,138,8
1,goldfield_r56_c5,gypsum,138,8
1,goldfield_r56_c7,muscovite,138,8
1,goldfield_r56_c17,kaolinite,138,8
1,goldfield_r56_c52,jarosite,138,8
1,goldfield_r56_c54,jarosite,138,8
1,goldfield_r56_c55,jarosite,138,8
1,goldfield_r57_c5,gypsum,138,8
1,goldfield_r57_c19,jarosite,138,8
1,goldfield_r57_c30,goethite,138,8
1,goldfield_r57_c31,goethite,138,8
1,goldfield_r57_c52,jarosite,138,8
1,goldfield_r57_c53,jarosite,138,8
1,goldfield_r57_c54,jarosite,138,8
1,goldfield_r58_c29,dickite,138,8
1,goldfield_r58_c53,jarosite,138,8
1,goldfield_r59_c28,muscovite,138,8
1,goldfield_r59_c29,dickite,138,8
1,goldfield_r59_c30,dickite,138,8
1,goldfield_r59_c54,jarosite,138,8
1,goldfield_r60_c5,gypsum,138,8
1,goldfield_r60_c29,muscovite,138,8
1,goldfield_r60_c31,dickite,138,8
1,goldfield_r60_c32,dickite,138,8
1,goldfield_r60_c54,jarosite,138,8
1,goldfield_r61_c28,goethite,138,8
1,goldfield_r61_c32,dickite,138,8
1,goldfield_r61_c33,dickite,138,8
1,goldfield_r62_c28,goethite,138,8
1,goldfield_r64_c9,gypsum,138,8
1,goldfield_r64_c28,muscovite,138,8
1,goldfield_r64_c32,muscovite,138,8
1,goldfield_r65_c30,muscovite,138,8
1,goldfield_r65_c32,muscovite,138,8
1,goldfield_r66_c3,gypsum,138,8
1,goldfield_r66_c4,gypsum,138,8
1,goldfield_r66_c9,gypsum,138,8
1,goldfield_r66_c31,muscovite,138,8
1,goldfield_r66_c33,muscovite,138,8
1,goldfield_r67_c2,gypsum,138,8
1,goldfield_r67_c26,goethite,138,8
1,goldfield_r67_c32,muscovite,138,8
1,goldfield_r67_c33,muscovite,138,8
1,goldfield_r68_c25,goethite,138,8
1,goldfield_r68_c26,goethite,138,8
1,goldfield_r68_c32,muscovite,138,8
1,goldfield_r69_c32,muscovite,138,8
1,goldfield_r69_c33,muscovite,138,8
1,goldfield_r70_c32,muscovite,138,8
1,goldfield_r72_c24,goethite,138,8
1,goldfield_r72_c25,goethite,138,8
1,goldfield_r73_c25,goethite,138,8
1,goldfield_r76_c64,hematite,138,8
1,goldfield_r77_c64,hematite,138,8
2,goldfield_r1_c18,hematite,2,2
2,goldfield_r28_c18,goethite,2,2
3,goldfield_r2_c20,dickite,7,5
3,goldfield_r4_c18,hematite,7,5
3,goldfield_r6_c19,hematite,7,5
3,goldfield_r29_c21,goethite,7,5
3,goldfield_r50_c21,muscovite,7,5
3,goldfield_r51_c19,muscovite,7,5
3,goldfield_r58_c19,jarosite,7,5
4,goldfield_r4_c26,dickite,2,2
4,goldfield_r27_c19,goethite,2,2
5,goldfield_r7_c19,hematite,3,2
5,goldfield_r56_c21,jarosite,3,2
5,goldfield_r57_c20,jarosite,3,2
6,goldfield_r10_c24,hematite,3,2
6,goldfield_r33_c19,goethite,3,2
6,goldfield_r52_c24,goethite,3,2
7,goldfield_r13_c17,hematite,4,2
7,goldfield_r28_c19,goethite,4,2
7,goldfield_r29_c18,goethite,4,2
7,goldfield_r29_c19,goethite,4,2
8,goldfield_r21_c17,jarosite,2,2
8,goldfield_r28_c22,goethite,2,2
9,goldfield_r25_c56,alunite,3,2
9,goldfield_r27_c55,alunite,3,2
9,goldfield_r45_c43,hematite,3,2
10,goldfield_r26_c62,alunite,2,2
10,goldfield_r56_c8,gypsum,2,2
11,goldfield_r28_c65,alunite,3,3
11,goldfield_r57_c7,muscovite,3,3
11,goldfield_r65_c3,gypsum,3,3
12,goldfield_r45_c29,goethite,2,2
12,goldfield_r47_c8,gypsum,2,2
13,goldfield_r50_c43,kaolinite,2,2
13,goldfield_r51_c41,gypsum,2,2
