site_id,band_index,wavelength_nm
bingham,0,376.4400
bingham,1,381.4100
bingham,2,386.3800
bingham,3,391.3500
bingham,4,396.3200
bingham,5,401.2900
bingham,6,406.2600
bingham,7,411.2300
bingham,8,416.2100
bingham,9,421.1800
bingham,10,426.1600
bingham,11,431.1400
bingham,12,436.1200
bingham,13,441.1000
bingham,14,446.0800
bingham,15,451.0600
bingham,16,456.0400
bingham,17,461.0200
bingham,18,466.0100
bingham,19,470.9900
bingham,20,475.9800
bingham,21,480.9600
bingham,22,485.9500
bingham,23,490.9300
bingham,24,495.9200
bingham,25,500.9100
bingham,26,505.9000
bingham,27,510.8900
bingham,28,515.8800
bingham,29,520.8700
bingham,30,525.8700
bingham,31,530.8600
bingham,32,535.8500
bingham,33,540.8500
bingham,34,545.8400
bingham,35,550.8400
bingham,36,555.8300
bingham,37,560.8300
bingham,38,565.8300
bingham,39,570.8300
bingham,40,575.8200
bingham,41,580.8200
bingham,42,585.8200
bingham,43,590.8200
bingham,44,595.8200
bingham,45,600.8200
bingham,46,605.8200
bingham,47,610.8200
bingham,48,615.8300
bingham,49,620.8300
bingham,50,625.8300
bingham,51,630.8300
bingham,52,635.8400
bingham,53,640.8400
bingham,54,645.8500
bingham,55,650.8500
bingham,56,655.8600
bingham,57,660.8600
bingham,58,665.8700
bingham,59,670.8700
bingham,60,675.8800
bingham,61,680.8900
bingham,62,685.8900
bingham,63,690.9000
bingham,64,695.9100
bingham,65,700.9100
bingham,66,705.9200
bingham,67,710.9300
bingham,68,715.9400
bingham,69,720.9500
bingham,70,725.9600
bingham,71,730.9700
bingham,72,735.9800
bingham,73,740.9800
bingham,74,745.9900
bingham,75,751.0000
bingham,76,756.0200
bingham,77,761.0200
bingham,78,766.0400
bingham,79,771.0500
bingham,80,776.0600
bingham,81,781.0700
bingham,82,786.0800
bingham,83,791.0900
bingham,84,796.1000
bingham,85,801.1200
bingham,86,806.1300
bingham,87,811.1400
bingham,88,816.1500
bingham,89,821.1600
bingham,90,826.1800
bingham,91,831.1900
bingham,92,836.2000
bingham,93,841.2100
bingham,94,846.2300
bingham,95,851.2400
bingham,96,856.2500
bingham,97,861.2600
bingham,98,866.2800
bingham,99,871.2900
bingham,100,876.3000
bingham,101,881.3200
bingham,102,886.3300
bingham,103,891.3400
bingham,104,896.3600
bingham,105,901.3700
bingham,106,906.3800
bingham,107,911.4000
bingham,108,916.4100
bingham,109,921.4200
bingham,110,926.4400
bingham,111,931.4500
bingham,112,936.4600
bingham,113,941.4800
bingham,114,946.4900
bingham,115,951.5000
bingham,116,956.5200
bingham,117,961.5300
bingham,118,966.5500
bingham,119,971.5600
bingham,120,976.5700
bingham,121,981.5900
bingham,122,986.6000
bingham,123,991.6100
bingham,124,996.6300
bingham,125,1001.6400
bingham,126,1006.6500
bingham,127,1011.6700
bingham,128,1016.6800
bingham,129,1021.6900
bingham,130,1026.7100
bingham,131,1031.7200
bingham,132,1036.7300
bingham,133,1041.7500
bingham,134,1046.7600
bingham,135,1051.7700
bingham,136,1056.7900
bingham,137,1061.8000
bingham,138,1066.8101
bingham,139,1071.8300
bingham,140,1076.8400
bingham,141,1081.8500
bingham,142,1086.8600
bingham,143,1091.8800
bingham,144,1096.8900
bingham,145,1101.9000
bingham,146,1106.9200
bingham,147,1111.9301
bingham,148,1116.9399
bingham,149,1121.9500
bingham,150,1126.9700
bingham,151,1131.9800
bingham,152,1136.9900
bingham,153,1142.0000
bingham,154,1147.0100
bingham,155,1152.0300
bingham,156,1157.0400
bingham,157,1162.0500
bingham,158,1167.0601
bingham,159,1172.0699
bingham,160,1177.0800
bingham,161,1182.1000
bingham,162,1187.1100
bingham,163,1192.1200
bingham,164,1197.1300
bingham,165,1202.1400
bingham,166,1207.1500
bingham,167,1212.1600
bingham,168,1217.1700
bingham,169,1222.1801
bingham,170,1227.2000
bingham,171,1232.2100
bingham,172,1237.2200
bingham,173,1242.2300
bingham,174,1247.2400
bingham,175,1252.2500
bingham,176,1257.2600
bingham,177,1262.2700
bingham,178,1267.2800
bingham,179,1272.2900
bingham,180,1277.3000
bingham,181,1282.3101
bingham,182,1287.3199
bingham,183,1292.3300
bingham,184,1297.3300
bingham,185,1302.3400
bingham,186,1307.3500
bingham,187,1312.3600
bingham,188,1317.3700
bingham,189,1322.3800
bingham,190,1327.3900
bingham,191,1332.4000
bingham,192,1337.4000
bingham,193,1342.4100
bingham,194,1347.4200
bingham,195,1352.4301
bingham,196,1357.4399
bingham,197,1362.4399
bingham,198,1367.4500
bingham,199,1372.4600
bingham,200,1377.4700
bingham,201,1382.4700
bingham,202,1387.4800
bingham,203,1392.4900
bingham,204,1397.5000
bingham,205,1402.5000
bingham,206,1407.5100
bingham,207,1412.5200
bingham,208,1417.5200
bingham,209,1422.5300
bingham,210,1427.5300
bingham,211,1432.5400
bingham,212,1437.5500
bingham,213,1442.5500
bingham,214,1447.5601
bingham,215,1452.5601
bingham,216,1457.5699
bingham,217,1462.5699
bingham,218,1467.5800
bingham,219,1472.5800
bingham,220,1477.5900
bingham,221,1482.5900
bingham,222,1487.6000
bingham,223,1492.6000
bingham,224,1497.6100
bingham,225,1502.6100
bingham,226,1507.6100
bingham,227,1512.6200
bingham,228,1517.6200
bingham,229,1522.6300
bingham,230,1527.6300
bingham,231,1532.6300
bingham,232,1537.6400
bingham,233,1542.6400
bingham,234,1547.6400
bingham,235,1552.6400
bingham,236,1557.6500
bingham,237,1562.6500
bingham,238,1567.6500
bingham,239,1572.6500
bingham,240,1577.6500
bingham,241,1582.6600
bingham,242,1587.6600
bingham,243,1592.6600
bingham,244,1597.6600
bingham,245,1602.6600
bingham,246,1607.6600
bingham,247,1612.6600
bingham,248,1617.6600
bingham,249,1622.6600
bingham,250,1627.6600
bingham,251,1632.6600
bingham,252,1637.6600
bingham,253,1642.6600
bingham,254,1647.6600
bingham,255,1652.6600
bingham,256,1657.6600
bingham,257,1662.6600
bingham,258,1667.6600
bingham,259,1672.6600
bingham,260,1677.6600
bingham,261,1682.6600
bingham,262,1687.6500
bingham,263,1692.6500
bingham,264,1697.6500
bingham,265,1702.6500
bingham,266,1707.6400
bingham,267,1712.6400
bingham,268,1717.6400
bingham,269,1722.6400
bingham,270,1727.6300
bingham,271,1732.6300
bingham,272,1737.6200
bingham,273,1742.6200
bingham,274,1747.6200
bingham,275,1752.6100
bingham,276,1757.6100
bingham,277,1762.6000
bingham,278,1767.6000
bingham,279,1772.5900
bingham,280,1777.5900
bingham,281,1782.5800
bingham,282,1787.5800
bingham,283,1792.5699
bingham,284,1797.5601
bingham,285,1802.5601
bingham,286,1807.5500
bingham,287,1812.5400
bingham,288,1817.5400
bingham,289,1822.5300
bingham,290,1827.5200
bingham,291,1832.5100
bingham,292,1837.5100
bingham,293,1842.5000
bingham,294,1847.4900
bingham,295,1852.4800
bingham,296,1857.4700
bingham,297,1862.4600
bingham,298,1867.4500
bingham,299,1872.4399
bingham,300,1877.4301
bingham,301,1882.4200
bingham,302,1887.4100
bingham,303,1892.4000
bingham,304,1897.3900
bingham,305,1902.3800
bingham,306,1907.3700
